"Author";"Frequency"
"R. Billinton";131
"Bhim Singh";53
"Peng Wang";51
"C. Singh";44
"J. Mitra";42
"M. Shahidehpour";42
"R. Karki";41
"M. Benidris";41
"M. Fotuhi‐Firuzabad";40
"Yang Liu";39
"Wei Wang";36
"Jaeseok Choi";36
"Lei Wang";33
"F. Blaabjerg";32
"Peng Li";32
"Yi Ding";31
"Yan Li";28
"Wei Li";27
"Yan Zhang";27
"Wei Wei";27
"Ying Wang";26
"L. Goel";25
"A. Chowdhury";25
"Yang Li";24
"Yang Yang";23
"P. Dehghanian";23
"Lei Zhang";23
"Li Zhang";22
"Wei Zhang";22
"I. Musirin";21
"Yu Zhang";21
"Z. Bie";21
"Xin Li";21
"Hao Chen";21
"M. Lehtonen";21
"M. Khalid";21
"Mohit Bajaj";21
"Ning Zhang";20
"J. Guerrero";20
"Lingfeng Wang";19
"Xu Zhang";19
"Qi Wang";19
"Jian Zhang";19
"J. Catalão";19
"D. Koval";18
"Yi Zhang";18
"Fei Wang";18
"Hao Zhang";18
"Mohamed-Slim Alouini";18
"Yi Wang";18
"K. Kopsidas";18
"Bin Li";18
"Jun Liu";18
"Xin Wang";18
"Jie Zhang";18
"S. Mei";18
"Li Wang";18
"Wei Chen";18
"Weijen Lee";17
"Jing Wang";17
"Xiang Li";17
"Ying Zhang";17
"Hui Li";17
"Bo Hu";17
"K. Xie";17
"Bo Wang";17
"Yong Li";17
"M. Shafie‐khah";17
"S. Rahman";16
"A. Abdelaziz";16
"Zhe Chen";16
"Z. Dong";16
"Li Li";16
"Bin Wang";16
"Jun Li";16
"Chao Zhang";16
"Lei Chen";16
"Hongbin Sun";16
"M. Panteli";16
"W. Wangdee";15
"Xin Zhang";15
"X. Fang";15
"M. Haghifam";15
"Zheng Li";15
"Jun Yang";15
"T. Nguyen";15
"P. Chang";15
"Wei Sun";15
"Yan Xu";15
"T. Senjyu";15
"Yong Wang";15
"Yu Wang";15
"Tao Li";15
"K. Muttaqi";15
"Hao Wang";15
"Chang Liu";15
"B. Hodge";15
"R. Varma";14
"Qiang Li";14
"Y. Li";14
"F. Wen";14
"C. Su";14
"Hao Li";14
"T. Mount";14
"Bo Li";14
"Wenbo Wang";14
"Jeongje Park";14
"A. Srivastava";14
"Hui Wang";14
"Feng Wang";14
"Chen Chen";14
"A. Rahmani";14
"Peng Zhang";14
"Tao Yang";14
"Fan Yang";14
"Ke Wang";14
"Yu Chen";14
"Bo Liu";14
"Jun Zhang";14
"Jianhui Wang";14
"Yu Liu";14
"A. Singh";13
"C. Kang";13
"Y. Hayashi";13
"Y. Liao";13
"Zheng Yan";13
"Bo Yang";13
"Qian Zhang";13
"F. Aminifar";13
"Jie Liu";13
"Jian Wang";13
"Yilu Liu";13
"Xiuli Wang";13
"Jing Li";13
"Rui Wang";13
"M. Parvania";13
"M. Moeini‐Aghtaie";13
"Chao Wang";13
"Qing Wang";13
"M. Aly";13
"Fang Liu";13
"V. Yurin";13
"Lin Zhang";13
"Rui Zhang";13
"J. Vasquez";13
"Jin Wang";13
"J. Teh";13
"Yi Liu";13
"Ievgen Zaitsev";13
"Y. Song";12
"F. Li";12
"A. Dubey";12
"Xin Zhao";12
